Brand,Model,Version,Transmission,Year,Age,Sex,Policy,Insurance_company,Price
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,GNP,"6,458.51"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,HDI,"6,669.48"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,Qualitas,"6,764.61"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,Inbursa,"9,345.04"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,AXA,"3,284.50"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,Zurich,"3,794.20"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,ABA,"3,849.33"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,HDI,"4,046.96"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,Seguros Atlas,"4,582.67"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,Mapfre,"4,608.38"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,Qualitas,"5,053.89"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,AIG,"5,568.84"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,ANA,"5,615.03"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,Inbursa,"5,646.54"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Limitada,GNP,"6,255.65"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,AXA,"2,467.99"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,HDI,"2,933.14"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,ABA,"3,266.95"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,Mapfre,"3,531.98"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,Zurich,"3,536.39"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,Inbursa,"3,553.63"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,Seguros Atlas,"4,254.35"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,Qualitas,"4,634.84"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,ANA,"4,764.78"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,AIG,"5,179.00"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,RC,GNP,"6,191.50"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,Mapfre,"4,904.66"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,ABA,"5,103.70"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,Seguros Atlas,"5,294.78"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,Zurich,"5,470.47"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,AXA,"5,709.41"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,AIG,"6,019.03"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,GNP,"6,190.55"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,ANA,"6,353.21"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,HDI,"6,416.27"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,Qualitas,"6,764.61"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Amplia,Inbursa,"8,107.90"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,AXA,"3,207.77"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,Zurich,"3,719.31"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,ABA,"3,794.48"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,HDI,"3,987.90"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,Mapfre,"4,214.89"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,Seguros Atlas,"4,348.07"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,Inbursa,"4,984.73"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,Qualitas,"5,053.89"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,AIG,"5,474.76"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,ANA,"5,615.03"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,Limitada,GNP,"5,999.75"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,AXA,"2,421.79"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,HDI,"2,868.48"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,ABA,"3,233.89"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,Mapfre,"3,313.40"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,Zurich,"3,472.74"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,Inbursa,"3,553.63"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,Seguros Atlas,"4,049.06"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,Qualitas,"4,634.84"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,ANA,"4,764.78"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,AIG,"5,117.12"
Nissan,VERSA,ADVANCE,Aut,2012,45,H,RC,GNP,"5,939.41"
